,授業科目名,学修の目的,学修内容,授業改善の工夫,成績評価方法と基準,履修上の注意,その他
1007,私たちが今ほしい未来を提言（調査編）―同世代が、どのような野望・期待・懸念を社会に持っているか、調査しよう,【概要】2006年3月22日に「justsettingupmytwttr」という世界最初のツイートがTwitter創業者の1人ジャック・ドーシー氏によって投稿されました。このツイートは、2021年3月にNFT（非代替性トークン）で競売にかけられた結果、約3億円で落札されており、現在のTwitterの市場価値の高さがうかがえます。令和元年の総務省の調査によると日本でのTwitter利用率は38.7%。なかでも10〜20代は約7割が利用しており、皆さんの生活に欠かせないソーシャルメディアの1つではないでしょうか。また、インターネットをする上で必要なのがスマートフォンです。スマートフォンの始まりは、1992年にIBM社が開発したタッチスクリーン式の携帯式電話「Simon」コンセプトモデルと言われてますが、2007年Appleから「初代iPhone」が投入されたことによって爆発的に流行しました。当時CEOを務めていたスティーブ・ジョブズ氏による「初代iPhone」の発表プレゼンテーションは、今でも伝説的に語り継がれています。更に、今では当たり前のeコマースですが、その草分け的な存在であるAmazonは、オンライン書店としてアメリカで創業し、2000年11月に日本語サイトをオープンしました。2001年以降、取扱商品は「音楽」「DVD」「ビデオ」「ゲーム」「エレクトロニクス」「ホーム&キッチン」などにも拡充し、2002年11月に出店型の販売形式として「Amazonマーケットプレイス」を開始し、直販と出店型の2つのビジネスで急成長を遂げます。さて、皆さんはお気づきでしょうか？生活に欠かせないこれらのツール・サービスはいずれも2000年代に登場しており、約15〜20年間も使われているのです。当時の生活や価値観から生まれたものを、今も使っていることに違和感を覚える人もいるのではないでしょうか。特に10〜20代の方は、これらのツール・サービスが作られたのは出生〜幼少期で、当時の生活や価値観を知りません。物心ついてから当たり前のようにあったツール・サービスですが、大学生になった今、「こうだったら良いのにな！」と、自分の生活・価値観にもっとフィットしてほしいと思う瞬間があると思います。2000年代と今では、ビジネスも大きく変化しています。例えば、AIやブロックチェーン、クラウドなど、新しいテクノロジーの台頭により、「未来を変えるスピード」が加速しています。数年前までは「5年後の未来を予測する」というコンサルティングが可能でしたが、今では「1年後の未来も予測がつかない」ということが常識です。また社会の関心も「個」から「全体」へと移ってきています。企業は、「独り勝ちすれば良い」から、「レスポンシブル・カンパニーとしての責務を果たす」ことが重視され、エコシステムを形成しながら、SDGsの取り組みをはじめグローバル全体の社会課題を解決し、サステナビリティなビジネスを行うために変革することが求められています。2000年代とは大きく変化した社会において、皆さんは今どのような生活・価値観を持っており、どのようなことに「こうだったら良いのにな！」を感じるでしょうか。またこれから社会を支える世代として、今のビジネスや社会動向を学んだ時、どのような野望・期待・懸念を持つでしょうか。皆さんが漠然と抱いている考えや思いを「見える化」すると、社会にどのような価値を提供したいかという「今ほしい未来」が見えてきます。そして「今ほしい未来」を実現するためには、必要なツール・サービスを考えて具現化することが必要です。「今ほしい未来」を描いて実現することは、今のビジネスで求められているスキルです。言うは易く行うは難しの典型例ですが、考え方や進め方のコツを掴めれば、誰でも考えることが出来ます。世界有数の総合コンサルティング/ITサービス企業として、世界中の様々な企業と一緒に、新しいサービスをビジネスとして実現させてきたアクセンチュアの経験と実績を活かして、本授業では、初学者を対象に、アクセンチュアの現役コンサルタントと共に、「今ほしい未来を提言する」ことを調査編、提言編の2段階で、実践形式で学ぶことを目的としています。2021年Aセメスターでは調査編として、社会やビジネスの最新動向をインプットにして、同世代の生活・価値観を調査。デザインシンキングで、「やりたいこと」のアイディエーションを行い、ストーリーテリングを活用した発表を行います。※提言編は、2022年Sセメスターにて開講予定で、調査編の「アイディエーション」をもとにPoC（実証実験）を通じて具体的なソリューションに落とし込みます。プログラムデザイン：アクセンチュア株式会社コーディネーター：髙橋史子東京大学教養学部附属教養教育高度化機構社会連携部門特任講師【目標】・同世代がどのような行動様式・価値観を持っているか仮説を立てられるようになる・インタビュー設計、ペルソナ（典型的なユーザー像）作成やペインポイント（想定ユーザーの悩みや課題）の洗い出しの方法を習得する・デザインシンキングを習得・活用して、アイデアを見える化する方法を習得する・ストーリーテリング（ビジネスを「物語」を通して表現する手法）をもとに人を説得する技術を学び、発表する・社会にどのような価値を提供したいか考えた上で、「今ほしい未来」を描く,10/6ガイダンス・新規ビジネス/サービス創出に共感が求められる背景：ビジネス最前線（共感の経営）・ゼミに関する説明（ゼミの目的と目標、進め方、スケジュール、評価方法）10/13ビジネス最前線を知る・レスポンシブル・ビジネスとサステナビリティ・テクノロジートレンド10/20課題の理解と構造化を学ぶ・問題解決思考演習10/27今ほしい未来の仮説を考える・デザインシンキング演習11/3業界最前線を知る・アクセンチュアの業界エキスパートへのヒアリング11/10インタビューを設計する①・インタビュー設計演習11/17インタビューを設計する②・インタビュー詳細設計演習12/1インタビューをする①・インタビュー演習12/8インタビューをする②・インタビュー演習12/15インタビュー結果をまとめる・ペルソナ作成・ペインポイント洗い出し演習12/22今ほしい未来のアイディエーションをする・デザインシンキング演習1/5発表の準備をする・ストーリーテリング演習・発表準備演習1/12発表（発表10分、フィードバック10分程度）※受講者数により授業時間を延長する可能性あり,講義、グループワーク、発表等,・振り返りフォーム（70%）…各回で学んだ知識、概念、理論に関する簡単な復習。疑問点や感想も書いてください・発表（30%）…第13回授業で発表を行います。教員（10%）、アクセンチュア社員（10%）、受講者（10%）で評価を行います。評価基準は以下の通りです。＜評価基準＞準備への貢献（各チーム担当のアクセンチュア社員が評価）・チームワークへの貢献：授業の中でチームメンバと交流し、チームワークの向上に寄与する。また、チームにとって有益と思える内容は、積極的にフィードバックを行うことができる。・アイデア出しへの貢献：多様な視点を持って活動に参画し、自分のアイデアを話すことができる。また他者からの意見を取り込むことで、アイデアを進化させることができる。・アウトプットへの貢献：グループワークに順応するとともに、新たな、または不慣れなタスクにも積極的に取り組むことができる。また、与えられたパートのタスクを期日を守ってこなすことができる。発表への貢献（教員、アクセンチュア社員、受講者が評価）・内容のわかりやすさ：ストーリーテリングの手法で、伝えたいことを簡潔にわかりやすく話すことができる。・話し方の適切さ：聞き手を意識して、はっきりした発音で話すことができる。また発表時間を大幅に超えないようにコントロールできる。・質疑応答のわかりやすさ：質問者の意図を理解して、受け答えができる。質問内容がわからない場合は、質問者に質問して内容を確認することができる。,・履修を検討している人は10/6のガイダンスに必ず出席してください。ガイダンス終了後、履修希望の方はアンケートに記入していただきます。希望者が20名を大きく上回る場合には、アンケート内容をもとに選抜する可能性があります。履修者の決定は10/11（月）にメールにてお知らせします。・講義前半でチーム編成し、その後はチームでの作業が中心となりますので、体調不良などのやむを得ない事情による欠席を除き、すべての回に出席してください。・ゼミの内容は、リサーチ・インタビュー/アイディエーションについての初学者向けのため、事前の関連知識は特に必要ありませんが、グループワークへの積極的な参加が求められます。,
1008,「茶わんの湯」から最新の科学を考える,時間と空間を超越し、普遍性を追求し、多様性を受け入れ、学問分野を自由に横断するという、日常生活の中にある茶碗から私たちの挑戦。普段は特別に意識しない、なんの変哲もない茶わんと湯であっても、よくよく観察することで様々な系に共通する普遍的な構造や法則および、最新の知見と関係していることが見えてくる。オムニバス形式で行う本ゼミは、物理学者・寺田寅彦の名随筆「茶碗の湯」を起点とし、その追体験、加えて寺田が文中で言及しなかった器としての茶碗や湯（お茶）に関連する考察・講義を実演を交えながら試みる。寺田寅彦的思考、学際的な研究、独創的な研究、実社会問題の発見や解決と密接に関係しうる研究とはどんなものか問いかける講義もある。あらゆる先入観・偏見から解き放たれ、学問領域を自由に往来し、さまざまな視点・観点から知の獲得と思考のトレーニングをする機会を「茶わんの湯」を通じて提供する。今セメスターは、対面とオンライン授業の両方にて開講する。文科学生の履修を歓迎する。【授業ホームページ／最新情報の確認】授業「茶わんの湯」2021AURL：https://bit.ly/*****【Zoom情報】URL：https://zoom.us/*****【問い合わせ先】e-mail：*****,オムニバス形式で行う本ゼミは、物理学者・寺田寅彦の名随筆「茶碗の湯」を起点とし、その追体験、加えて寺田が文中で言及しなかった器としての茶碗や湯（お茶）に関連する考察・講義を実演を交えながら試みる。寺田寅彦的思考、学際的な研究、独創的な研究、実社会問題の発見や解決と密接に関係しうる研究とはどんなものか問いかける講義もある。あらゆる先入観・偏見から解き放たれ、学問領域を自由に往来し、さまざまな視点・観点から知の獲得と思考のトレーニングをする機会を「茶わんの湯」を通じて提供する。,本講義は、オムニバス形式で行う。各回、「茶わんの湯」に関連する分野の講師が、講義を行う。今セメスターでは、いくつかの講義回ではt体験作業を組み込んだ授業を展開する。事前に実演・実験する教材キットを希望する履修学生へ配布することも予定している。教材キットを用いて新しい様式の体験型授業も試みる。対面教室参加できる学生数は最大15名までとし、それを超える対面希望者がいる場合は、随時抽選を行う。,①出欠カード兼感想・質問カードの提出、②レポートの提出により評価する。成績評価方法の詳細は、第1回目のガイダンスにて説明し、まとめを授業ホームページに掲載する。履修希望者は必ず確認すること。感想・質問カードおよび、レポートは書籍・ホームページ等で公開する予定がある,文科学生の履修を歓迎する。対面教室参加できる学生数は最大15名までとし、それを超える対面希望者がいる場合は、随時抽選を行う。,
1009,生活史聞き書き実習,【注意】この授業は、開講日程の都合上成績が前期課程修了要件に反映されない見込みが高いので、履修にあたっては十分に注意すること。・講義題目：生活史聞き書き実習・授業の目標、概要生活史の聞き書きとは1人の人間の生い立ちや経験について語ってもらい、その内容を丁寧に聞き取り、書き留めることである。生活史はライフストーリー、ライフヒストリー、オーラルヒストリーなどとも呼ばれる。とりわけ社会的マイノリティを対象とするとき、生活史調査はその効力を発揮する。それはマイノリティに関するデータや声は文献資料や公的な調査の中にはほとんど現れず、現れたとしても文献作成者や公的機関の価値観が過重に投影されていることが多いからである。それに対して生活史調査は当事者に直接語ってもらうことにより、マイノリティの小さな声、個人の主体性を孕んだ声を汲み取ることができる。当然、記録されない小さな声、個人の主体性に満ちた声はマイノリティの声だけではない。実際、私たちの周囲で日々生活を送る、ごく普通の人たちのほとんどの声は、記録されることがない。しかし、ごく普通の人びとの声の中には多くの経験が織り込まれており、私たちにとって多くの学びを可能とする。この授業では、私たちの周りの普通の人びとの声──生活史に耳を傾けることで、他者に対する関心及び想像力を培い、理解を深めること、そして他者の経験を通して彼・彼女ら・私たちの生きる世界を考えることを目的とする。授業の進め方については、前半は生活史調査に基づいた文献や担当教員の作品を読みながら、生活史の聞き取り方法や聞き取りの内容を作品化する方法を解説する。後半では、前半の座学で修得した方法をもとに、実際に生活史の聞き書きを実践してもらう。なお実践部分についてはコロナウイルスの感染情況に鑑み、履修者と相談しながら、具体的な方法や課題内容を指定する。講義日程及び詳細についてはガイダンス時に説明する。＊開講場所：オンライン講義＊ガイダンス（オンライン）日時：2021年10月8日（金）17：05～17：35,ガイダンス時に説明する,同期型オンライン授業とオンデマンド型授業を併用する予定。具体的なスケジュール及び方法はガイダンス時に説明する。,出席や議論参加度などの平常点および期末小論文に基づいて評価する。,オンライン授業用のURLをITC-LMSで周知する予定。ネット接続などの問題により、履修希望者がガイダンスに参加できないことのないよう、ガイダンス出席予定者はメールで担当教員にお知らせください。,
1010,こまとちゃんゼミナール～駒場図書館で学ぶ大学生のための情報検索・収集・発信スキル,「こまとちゃんゼミナール」は、教養学部生のホームライブラリーである駒場図書館を活用しながら、大学での学習、研究はもちろん社会に出てからも役に立つ、情報の検索収集、そして活用の技術を身に付ける為の授業です。駒場図書館や情報システム部の協力のもと、大学図書館の様々な機能や学内で利用できる膨大な情報リソースの使いこなしを、グループワークを含む課題実習を通して学びます。また講義や図書館見学などを通して、図書館という施設や制度自体についての理解も深めることが目指されます。学期の終わりには、授業で磨いた情報検索・収集スキルを活かして、駒場図書館所蔵の資料を発信する実習を行います。駒場図書館内の展示スペースをお借りして、会期2週間ほどの展示企画(公開)の開催を目指します。,第1回ガイダンスと導入講義第2回駒場図書館セルフツアー／図書館の資料を知る第3回図書・雑誌の探し方第4回データベース活用①（講義）第5回データベース活用②（実習）第6回レファレンスサービス第7回資料の探し方（総括）第8回駒場図書館バックヤードツアー第9回情報活用・発信実習（展示企画制作）①（グループ決め、テーマ設定）第10-12回情報活用・発信実習②～④（展示制作・プレゼンテーション）＋総合図書館見学ツアー第13回展示制作・会場設置作業※授業のスケジュール、内容はCovid-19の感染状況等により変更になる可能性があります。,・担当教員およびゲスト講師（駒場図書館職員、情報基盤課学術情報チーム等）による講義・個人およびグループでの課題実習,出席状況、授業への貢献度、成果課題の内容によって合否判定を行う。,※原則、対面授業で行ないます。（対面で受講できる学生のみに履修を制限）※受講人数を20名程度に制限します。（ガイダンス時のアンケートに基づいて履修許可者を選抜し、翌週はじめ（10/12）には結果を通知します）※「こまとちゃん」は駒場図書館の公式キャラクターです。,
1011,企画を創る～実践から学ぶ教養としてのアートマネージメント,"芸術と社会をつなぐ役割を担うアートマネジメントには、多岐にわたる能力が求められます。中でも企画力は、コロナ禍の社会においては、リモート等の新たな形態の可能性を検討しつつ、イベント実施の意義そのものをいっそう明確に提示する必要がある為、今後さらに重要となっていく能力であると考えられます。そして、企画を考えるプロセスとは、社会と芸術との関係のみならず、それらと自分自身との繋がりをも俯瞰しつつ、興味と関心を掘り下げて行く必要のある、まさに「教養」の問われる知的営為とも言えるでしょう。本授業は、社会の一線で企画づくりに携わって来たプロフェッショナルを講師に迎え、実体験に基づくレクチャーの他、様々なワークショップを通して企画に必要な批判的思考を学びます。最終成果発表では、グループ毎に企画を立案し、企画書の作成・ブラッシュアップからプレゼンテーションまでを行います。以上の様な実践を通して「企画を創る」ことを共に考え学び、これからの時代の「教養」としての企画力を身に付けることが、本授業の目標となります。●ゲスト講師紹介鐘ケ江織代（アートマネージャー、コーディネーター、リサーチャー）パレイドリアン代表。滋賀県立芸術劇場びわ湖ホール、京都コンサートホールの各事業課を経て、トーキョーワンダーサイト（現トーキョーアーツアンドスペース）では「若手のための現代音楽企画ゼミ」を企画するなど、コンサートやワークショップの企画・制作、若手クリエーターの育成・支援事業等に携わる。竹田綾夏（企業研修講師、ダイバーシティスペシャリスト）株式会社Mirary代表取締役。台湾系移民三世として幼少期より多様性に触れる。異文化理解、社会学、マイノリティ研究のため渡米。LGBTQ当事者など多様な人達と6年間過ごし、米国ルイジアナ州や東南アジアでの現地調査を実施。米国オクラホマ州立大学で非常勤講師として多国籍の学部留学生向け講義を担当。帰国後MBA取得。ダイバーシティ＆インクルージョンに関する企業研修、ファシリテーション、国際会議司会、講演等を実施。元外務省総合外交政策局女性参画推進室調査員。山本和智（作曲家・プロデューサー）独学で作曲を学ぶ。オーケストラ、室内楽、アンサンブル、合唱、独奏曲、映画音楽など作曲活動は広範にわたり、2006年モリナーリ国際作曲賞第1位(カナダ)、2007年AIC/MostlyModern国際作曲コンクール第1位(アイルランド)、2009年度武満徹作曲賞第2位、2010年第5回JFC作曲賞、2011年TOKYOEXPERIMENTALFESTIVAL-SOUND,ART&PERFORMANCEvol.7奨励賞受賞など。2020年にはサントリーサマーフェスティバルにてオーケストラ作品の新作を初演。2009年より『特殊音樂祭』をプロデュースする。",第1回ガイダンス第2回企画を考える～心構えとはじめの一歩第3回企画をプロデュースする～プロデューサーの思考を探ろう第4回企画をデザインする～グループワークからはじめよう第5回企画をデザインする～グループワークからはじめよう第6回企画をブラッシュアップする～企画をフィードバックしよう第7回企画を発表する～プレゼンテーションをしよう,対面による講義、ワークショップ（グループワーク）,出席状況、授業への貢献度、最終プレゼンテーションによって合否判定をおこなう。,※A1タームのみ（全7回1単位）の開講となります。※原則、対面授業で行ないます。（対面で受講できる学生のみに履修を制限）※受講人数を20名程度に制限します。（ガイダンス時のアンケートに基づいて履修許可者を選抜し、翌週はじめ（10/12）には結果を通知します）,
1012,ブランドデザインスタジオ24「『リスク』からブランドを創る」,●プログラムについて『正解のない問いに、共に挑む』特別教育プログラムです。参加者の皆さんが今後、広く社会一般で活用し得る「共創」の手法を「21KOMCEE（理想の教育棟）」を舞台に、東京大学×博報堂ブランド・イノベーションデザインのコラボレーションにより学んでいただきます。全回、ワークショップ形式で行われ、現役の広告会社社員、ブランド･コンサルタントがプログラム･デザインおよびファシリテーションを担当します。参加者でプロジェクトチームを結成し、チームでのアイデア創出を行ってもらうことを予定しています。【URL】http://www.bdstudio.komex.c.u-tokyo.ac.jp/*****●今期のテーマについて社会学者ウルリッヒ・ベックは、「人々の生活に豊かさをもたらす産業技術の発展と同時に、様々なリスクが生み出される社会」を、“リスク社会”と呼び、私たちが生きる現代社会の特徴として論じています。新型コロナウイルス感染症の流行は、私たちの従来の生活様式がいかに“リスク”をはらんだものであるかをまざまざと感じる出来事になりました。たとえば毎年発生している水害、たとえば東京オリンピックの準備や運営をめぐって生じた様々な問題、たとえば突発的に個人に降りかかる煽り運転や隣人と騒音トラブル、…。私たちはさまざまな“リスク”がそこここに存在する、先の見えない不確実な世界を生きているように感じます。今回のブランドデザインスタジオは、探求を行うとさまざまな発見がありそうな「リスク」という概念をテーマとして取り上げ、「リスク」に関する新しいブランドを創り出すことをゴールに置きます。参加いただく皆さんには、テクノロジーの進化や社会の変化などの未来を見据え、多様なリサーチや議論を通じて、「リスク」を多面的に捉え直してもらいます。その後、集めた情報を分析・統合し、未来に向けて生活者が抱える課題や期待する価値を深掘りし、そこに立脚して新しいアイデアを創出していただきます。「リスク」に関する新たな商品やサービス、空間やイベントなど、アイデアは自由に発想してください。チームで協力し、「リスク」とは何なのか、「リスク」と付き合いながら私たちはどのように生活や人生をつくっていくのか、「リスク」を考え対処し行動していくことにどんな可能性があるのかを探求してください。そして、それを起点にしてどのような新しいブランドが創りうるのかを世に問うていただきたいと思います。本授業における最終成果物として、授業終了後に一般公開する形でプレゼンテーションをしていただく予定です。,集中講義として設定されています。基本的には木曜日17：30～20：30での「ワークショップ」として授業を行います。詳しくはガイダンスおよびHP(http://www.bdstudio.komex.c.u-tokyo.ac.jp/*****)で確認してください。対面でワークショップを行う回とオンラインでワークショップを行う回を交えて行います。新型コロナウイルス感染症の流行の動向に応じて、対面ワークショップとオンライン・ワークショップの回数を調整します。授業初回のガイダンスで方針をお伝えします。10月7日(木)17:30～20:30にワークショップ体験会およびガイダンスを実施します。3時間通し(途中休憩あり)での体験会・ガイダンスとなりますが、受講希望者は必ずガイダンスに出席してください。※このガイダンスはオンライン開催となります。ZOOMのURLをシラバスに掲載しますので、ご確認の上ご参加ください。,講義などの一方的な知識伝達スタイルではなく、参加者自ら「参加」「体験」し、グループの相互作用の中で何かを学びあい、創出し、合意形成していく「共創」の手法で行います。具体的には、情報収集･活用の方法（ＫＪ法等）、フィールドワークの手法、発想の手法（ブレイン・ストーミング等）といった様々な思考方法を体験学習出来るとともに、チームワークスキル、コミュニケーションスキル、プレゼンテーションスキルといった社会一般で必要とされる基礎スキルの習得も行えます。,全ての授業への参加を前提に、個人ワークの提出内容、グループワークへの貢献、最終プレゼンテーション内容により評価します。,10月7日17:30～20:30にワークショップ体験会およびガイダンスを実施します。履修者数は40名以下とします。受講は全ての授業に出席することが必須条件です。,本授業は、東京大学と株式会社博報堂の協働により開催されます。博報堂内のブランディング、イノベーション支援専門組織「博報堂ブランド・イノベーションデザイン」のブランド･コンサルタントやクリエイターがプログラム･デザインおよびファシリテーションを担当します。参加者のみなさまには、博報堂で実際に実践されているリサーチ手法、コンセプト開発手法、アイデア発想手法を体験いただきます。
1013,ICTは教育をどう変えるか：教育を個別最適化する,新型コロナウイルス感染症の影響を受け、小・中・高のGIGAスクール構想は前倒して進められ、大学でのオンライン授業やハイブリッド授業も通常運用されるようになり、日本においても教育のICT化はようやく進み始めたように見受けられます。しかしながら、これらの取り組みの目的は単に「コンピューターを使って教育を行う」ということではありません。各学習者の履歴や特性を把握して、それぞれに合った教育ブログラムを提供する、ということが目されており、デジタル機器はそのためのログを蓄積するツールとしての役割が期待されています。教育データの活用により、個々人の学習進度に合わせたコンテンツを提供することや達成度評価の方法が転換することが、直近の利点として挙げられます。さらに、学校に来ることができなかったり、あるいは認知に特性がある子どもに対してその能力を最大限に活かす教育プログラムを設計することが目標としてあげられます。また、居住地域に依存せずに高度な教育を受ける機会を提供することにより、地域格差の解消や、海外を含む遠隔地を巻き込んだ体験学習を行うといった取り組みにもICTは活用されています。さらに、教育をポスト情報化社会を生き抜くための認知能力を高める機会と考えるならば、従来の教育アセスメント法のみならず、学習者の脳活動などの生理データを利用して学習効率を高めていく可能性についても注目が高まっています。本講義では、個別最適化教育やICTを活用した教育実践をされているゲストスピーカーをお招きし、将来のベストプラクティスを模索します。個人によるデータ管理のあり方や、脳機能計測の教育利用の可能性を知るために、データ取得や分析も体験します。主にオンラインで講義を行いますが、数回の対面授業を予定しています。【ゲストスピーカー】・福本理恵さん（株式会社SPACECEO）・浅野大介さん（経済産業省）・岩田拓真さん（a.school代表／校長）・異才発掘プロジェクトROCKETスカラー・工藤勇一さん（横浜創英校長）・茨木拓也さん（NTT）・信岡良亮さん（さとのば大学）・石角友愛さん（パロアルトインサイトCEO）・GEGHimeji,第1回10/05イントロ①世界のEdTech/教育AI事情根本第2回10/12イントロ②ギフテッドの神経科学坂口第3回10/19ROCKETからSPACEへ福本理恵さん（株式会社SPACECEO）第4回10/26ゲスト講演みらいの教室・GIGAスクール浅野大介さん（経済産業省）第5回11/02ゲスト講演岩田拓真さん（a.school代表／校長）第6回11/09ゲスト講演異才発掘プロジェクトROCKETスカラー3名との対話第7回11/16ゲスト講演工藤勇一先生（横浜創英校長）第8回11/30ゲスト講演＋ワークショップNeuroAIを教育に活かす茨木拓也さん（NTT）（K402教室）第9回12/07ワークショップ個人特性アセスメント＋脳機能計測体験（K402教室）第10回12/14ゲスト講演信岡良亮さん（さとのば大学）第11回12/21ゲスト講演アメリカのギフテッド教育石角友愛さん（パロアルトインサイトCEO）第12回01/04ゲスト講演日本におけるEdTechの実装GEGHimeji第13回01/11成果発表、授業評価アンケート,ゲストスピーカーによるレクチャーとグループでの調査ワークショップ参加とデータ取得,各回のリアクションペーパー、グループワークでの調査・分析、プレゼンテーション,問題意識を持って積極的に参加すること。,
1014,Roadto2050環境と経済の好循環に向けて,地球温暖化の主因と考えられる温室効果ガスの約9割は二酸化炭素が占めており、その排出源の殆どはエネルギー由来である。このため、世界では「カーボンニュートラル＝脱炭素社会」の実現に向けて、エネルギー分野において産業革命以来最大ともいえる変革の波が押し寄せている。わが国でも、2020年10月、菅義偉総理大臣は国会における所信表明演説で、「2050年までに温室効果ガスの排出を全体としてゼロにする、すなわち2050年カーボンニュートラル、脱炭素社会の実現を目指すことを、ここに宣言いたします。」と述べ、続けて「もはや、温暖化への対応は経済成長の制約ではありません。積極的に温暖化対策を行うことが、産業構造や経済社会の変革をもたらし、大きな成長につながるという発想の転換が必要です。鍵となるのは、次世代型太陽電池、カーボンリサイクルをはじめとした、革新的なイノベーションです。」とし、国がカーボンニュートラルに向けた取組みを強力に後押しすることを表明している。その具体策として、2020年12月に経済産業省から、2050年カーボンニュートラルに伴うグリーン成長戦略が発表されたが、その全てはエネルギー関連技術に基づく産業に関わるものである。本ゼミナールでは、持続可能な社会の構築に向けて、環境と経済の好循環を実現するための2050年に向けた分野横断的なアプローチを議論する。,以下の教員が、各回ごとに様々な角度から講義とディスカッションを進める。瀬川浩司（エネルギー学）、松尾基之（物質循環学）、江守正多（地球環境科学）、小林光（環境経済学）、原裕太（人文地理学）、王海浜（中国のエネルギー政策）、韓礼元（中国のエネルギー技術開発）、田中良（日本の再生可能エネルギー）、松本真由美（エネルギー政策）,オンライン講義,レポート,各回の講義資料はITC-LMSからダウンロードして予習していただきます。,
1015,身近な環境化学実習－身近な水を水質調査から科学する－,【注意】この授業は、開講日程の都合上成績が前期課程修了要件に反映されない見込みが高いので、履修にあたっては十分に注意すること。「水」と聞いてどのようなイメージを持ちますか？水道水は採取場所や日時によって違いがあるのか、水道水とペットボトルの水はどう違うのか、ミネラルウォーターといっても色々な種類があるがいったいどのような違いがあるのか、といった水に関する様々な疑問を、実習を通して多角的な視点で解決していくことが本実習の目標である。本実習では、身近な水、例えばキャンパスや自宅の水道水や市販のペットボトルウォーターについて、化学分析（試料サンプリング、前処理操作、測定）を実際に体験し、試料を構成している成分が何であるか、それらの成分濃度はどれくらいであるか、といった情報を取得し、得られた結果から普段私たちが身近に接している水の状態を環境化学的に解釈し考察する。また、実習最終日にはショートプレゼンテーションを実施し、履修者同士でピアレビューを行うことで、得られた結果や考察に対する理解を深めていく。本実習の履修には、専門知識や事前学習を必要としない。化学分析を体験し、実験計画を自由に考えながら実験を遂行し、環境分析化学の面白さに触れてもらうことを重要視しているため、文科・理科を問わず興味がある学生を歓迎する。授業の詳細については、ガイダンス時に説明する。【ガイダンス】2021年10月8日（金）12:20からZoomで実施【授業実施日】以下の日程で、4限に行う。11月：19日(金)、26日(金)、30日(火)12月：10日(金)、17日(金)、24日(金)2月：7日～10日13時～15時、14日(月)午後開講日時は履修者が決定したのちに、都合を確認し最終決定する。【問い合わせ先】*****,"自宅などの水道水、市販のボトルドウォーター、全国各地の水道水等を試料とし、次のような計画で進める。①実習内容説明、知識の共有、水質分析法、プレゼンテーション資料作成・発表方法についてレクチャー②水試料選定、サンプリング③五感による水の状態分析④比色法を用いた簡易定量分析⑥考察、発表資料作成⑦ショートプレゼンテーションおよびディスカッション開講計画として、以下を予定している。ただし、この限りではない。11月19日(金)、26日(金)、30日(火)：環境化学、水質調査方法、サンプリング方法、サンプル・測定項目の選定、実験計画を履修者で共有。12月10日(金)、17日(金)、24日(金)：実験、プレゼン資料作成、発表方法レクチャー2月7,8,9,10日13:00～15:00：授業＆オフィスアワー2月14日午後：プレゼンテーション",基本はオンライン形式で実施し、学生の自宅等で各自実験を進める。最初に座学形式で授業の内容や専門知識について学び、知識の共有を行う。その後、各自、実験を計画・遂行し、取り組む。測定希望試料や分析キットについては郵送により配布する（大学での受取可）。受け取ったら、各自実験を進める。実験については、自宅や駒場キャンパス内の指定の実験室で行う。最終日(2月14日)に、実験結果についてプレゼンテーションを行う。プレゼンテーションは、履修者間でピアレビューする。実験の進捗について、教員とコンタクトを取りながら進める。授業時間以外に教員に質問や相談ができるオフィスアワーを設ける（オンライン/対面可）。実験やプレゼン資料の作成、発表は個々で行うので、自発的に取り組む必要がある。,出席、取り組み姿勢、ショートプレゼンテーションを総合的に評価。詳細は、ガイダンスおよび実習1日目に説明する。,実習形式かつオンラインでの実施のため履修人数に制限を設けており、最大10名の予定。履修希望者多数の場合は抽選を行う。抽選選抜方法については、ガイダンス時に説明します。本実習の履修を希望する者は、必ずガイダンスに出席すること。ガイダンスに出席できない者は、担当教員にメールで連絡のこと（*****）。実習授業のため、受け身で授業を聞くだけではなく、各個人で実験を計画し遂行し、受講生同士の議論やプレゼンテーションなど、主体的な参加が求められます。,
1016,囲碁で養う考える力,囲碁は，古い歴史を持つ日本の伝統文化であるばかりでなく，国際的にも広く普及し親しまれている頭脳のスポーツである。本ゼミナールでは，囲碁のルールを学び，お互いの実戦を通じて，判断力，分析力，洞察力，集中力などを養う。指導に際しては日本棋院の全面的な協力を得る。囲碁は初めての人を対象として，基本のルールから教える。第1回にオンラインでガイダンスを行い，履修希望調査（ITC-LMSで提出）をふまえ受講者「24名」を決定する。※受講可能人数は24名（密を避けるため例年より少ない）※受講者は囲碁の未経験者・初心者に限る※ガイダンスはオンラインで、セレクション後の講義は対面で行う。オンラインでの参加はできない。,第1回ガイダンス（オンライン開催）第2回ルールの解説（１）第3回ルールの解説（２）第4回↓技術の解説と実戦↓第13回まとめ,日本棋院のプロ棋士(黒滝正憲八段・吉原由香里六段)が直接ルールや技術の解説をする。ルールを6路盤（正規の碁盤である19路盤より小さな練習用碁盤）で学び，9路盤での実践を経て，19路盤での対局ができるようになることを目指す．,講義への参加状況をもとに合否を判定する。,囲碁のルールを知らないか、本で読んで知っている程度の学生を対象とする,プロの囲碁棋士による囲碁の講義である。
